,n_table,name,report,structureWithDailyNumbers,structureWithPopulation,values
81,2.0,South,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
82,2.0,Thailand,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[42, 0, 1]"
83,2.0,India,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 0, 27]"
84,2.0,Nepal,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 48]"
85,2.0,Sri Lanka,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 34]"
86,2.0,Iran (Islamic Republic of),Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[593, 43, 0]"
87,2.0,Kuwait,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[45, 0, 1]"
88,2.0,Bahrain,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[40, 0, 0]"
89,2.0,United Arab Emirates,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[19, 0]"
90,2.0,transmission,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[1]
91,2.0,Iraq,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[13, 0, 0]"
92,2.0,Oman,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[6, 0, 2]"
93,2.0,Pakistan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[4, 0, 0]"
94,2.0,Lebanon,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 0, 4]"
95,2.0,Afghanistan,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 6]"
96,2.0,Egypt,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 16]"
97,2.0,Qatar,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 0]"
98,2.0,United States of America,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[62, 0, 1]"
99,2.0,Canada,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[19, 0, 0]"
100,2.0,Brazil,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 0, 0]"
101,2.0,Mexico,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 0, 1]"
102,2.0,Ecuador,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 0]"
103,2.0,Algeria,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 5]"
104,2.0,Nigeria,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[1, 0, 2]"
105,2.0,Subtotal for all regions,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[6464, 98]"
106,2.0,Princess),Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[705, 6, 4]"
107,2.0,§,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[7169, 104]"
108,2.0,COVID,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[0, 19]"
109,2.0,ms:,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
110,2.0,.,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
111,2.0,reporting location.,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
112,2.0,.,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
113,2.0,not been determined for any cases.,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[0]
114,2.0,§,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 78]"
115,2.0,female/,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[3, 93]"
116,2.0,male/,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[6498]
117,2.0,healthcare workers (,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[7]
118,2.0,female/,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[12, 2]"
119,2.0,Figure,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[2]
120,2.0,COVID,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[0, 19]"
121,2.0,(n=,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,[6567]
122,2.0,with complete days of reporting through,Situation report - 41Coronavirus disease 2019 (COVID-19) 01 March 2020,True,True,"[2, 9]"
0,1.0,Table,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[1]
1,1.0,COVID,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[0, 19]"
2,1.0,Data as of,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 9]"
3,1.0,Hubei,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[5917, 423, 159, 45, 66337, 2727]"
4,1.0,Guangdong,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[11346, 1, 0, 0, 1349, 7]"
5,1.0,Henan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[9605, 0, 0, 1, 1272, 21]"
6,1.0,Zhejiang,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[5737, 0, 0, 0, 1205, 1]"
7,1.0,Hunan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[6899, 1, 1, 0, 1018, 4]"
8,1.0,Anhui,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[6324, 0, 0, 0, 990, 6]"
9,1.0,Jiangxi,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[4648, 0, 1, 0, 935, 1]"
10,1.0,Shandong,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[10047, 0, 0, 0, 756, 6]"
11,1.0,Jiangsu,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[8051, 0, 0, 0, 631, 0]"
12,1.0,Chongqing,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3102, 0, 7, 0, 576, 6]"
13,1.0,Sichuan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[8341, 0, 2, 0, 538, 3]"
14,1.0,Heilongjiang,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3773, 0, 0, 0, 480, 13]"
15,1.0,Beijing,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2154, 1, 9, 1, 411, 8]"
16,1.0,Shanghai,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2424, 0, 28, 0, 337, 3]"
17,1.0,Hebei,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[7556, 0, 0, 0, 318, 6]"
18,1.0,Fujian,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3941, 0, 0, 0, 296, 1]"
19,1.0,Guangxi,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[4926, 0, 0, 0, 252, 2]"
20,1.0,Shaanxi,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3864, 0, 0, 0, 245, 1]"
21,1.0,Yunnan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[4830, 0, 3, 0, 174, 2]"
22,1.0,Hainan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[934, 0, 5, 0, 168, 5]"
23,1.0,Guizhou,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3600, 0, 1, 0, 146, 2]"
24,1.0,Tianjin,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1560, 0, 14, 0, 136, 3]"
25,1.0,Shanxi,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3718, 0, 0, 0, 133, 0]"
26,1.0,Liaoning,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[4359, 0, 15, 0, 121, 1]"
27,1.0,Hong Kong SAR,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[745, 1, 0, 0, 94, 2]"
28,1.0,Jilin,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2704, 0, 3, 0, 93, 1]"
29,1.0,Gansu,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2637, 0, 0, 0, 91, 2]"
30,1.0,Xinjiang,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2487, 0, 0, 0, 76, 3]"
31,1.0,Inner Mongolia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2534, 0, 0, 0, 75, 0]"
32,1.0,Ningxia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[688, 1, 0, 0, 73, 0]"
33,1.0,Taipei and environs,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2359, 7, 0, 0, 39, 1]"
34,1.0,Qinghai,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[603, 0, 0, 0, 18, 0]"
35,1.0,Macao SAR,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[66, 0, 0, 0, 10, 0]"
36,1.0,Xizang,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[344, 0, 0, 0, 1, 0]"
37,1.0,Total,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[142823, 435, 248, 47, 79394, 2838]"
38,2.0,Table,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[2]
39,2.0,laboratory,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[0]
40,2.0,COVID,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[0, 19]"
41,2.0,. Data as of,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[29]
42,2.0,Republic of Korea,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3150, 17, 0]"
43,2.0,Japan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[230, 5]"
44,2.0,(1),Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[0]
45,2.0,Singapore,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[98, 0, 0]"
46,2.0,Australia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[24, 0, 0]"
47,2.0,Malaysia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[24, 0, 1]"
48,2.0,Viet Nam,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[16, 0, 16]"
49,2.0,Philippines,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3, 1, 25]"
50,2.0,Cambodia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 33]"
51,2.0,New Zealand,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 1]"
52,2.0,Italy,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[888, 21, 0]"
53,2.0,Germany,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[57, 0, 0]"
54,2.0,France,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[57, 2, 0]"
55,2.0,Spain,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[32, 0, 0]"
56,2.0,The United Kingdom,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[20, 0, 0]"
57,2.0,Sweden,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[12, 0, 0]"
58,2.0,Switzerland,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[10, 0, 0]"
59,2.0,Norway,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[6, 0, 0]"
60,2.0,Croatia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[5, 0, 0]"
61,2.0,Israel,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[5, 0, 0]"
62,2.0,Austria,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[5, 0, 0]"
63,2.0,Romania,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3, 0, 0]"
64,2.0,Greece,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3, 0, 1]"
65,2.0,Denmark,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 0]"
66,2.0,Georgia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 0]"
67,2.0,Netherlands,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 0]"
68,2.0,Finland,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 3]"
69,2.0,Russian Federation,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 29]"
70,2.0,San Marino,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 0]"
71,2.0,North Macedonia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 3]"
72,2.0,Estonia,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 2]"
73,2.0,Lithuania,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 1]"
74,2.0,Belarus,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 1]"
75,2.0,Belgium,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 25]"
76,2.0,South,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[0]
77,2.0,Thailand,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[42, 0, 0]"
78,2.0,India,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[3, 0]"
79,2.0,cases only,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[26]
80,2.0,Nepal,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 47]"
81,2.0,Sri Lanka,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 33]"
82,2.0,Iran (Islamic Republic of),Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[388, 34, 0]"
83,2.0,Kuwait,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[45, 0, 0]"
84,2.0,Bahrain,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,[38]
85,2.0,(5),Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[0, 0]"
86,2.0,United Arab Emirates,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[19, 0, 1]"
87,2.0,Iraq,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[8, 0, 0]"
88,2.0,Oman,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[6, 0, 1]"
89,2.0,Lebanon,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 3]"
90,2.0,Pakistan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 3]"
91,2.0,Afghanistan,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 5]"
92,2.0,Egypt,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[1, 0, 15]"
93,2.0,United States of America,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[62, 0, 0]"
94,2.0,Canada,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[14, 0, 0]"
95,2.0,Mexico,Situation report - 40Coronavirus disease 2019 (COVID-19) 29 February 2020,True,True,"[2, 0, 0]"
